His rheumy eyes began to cloud.	A sus ojos rheumy comenzó a nube.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In Mexico, we're seen as Americans.	En México, nos ven como estadounidenses.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Some came hoping to look Breivik in the eye, others to confirm that he is being held under lock and key.	Algunos llegaron con la esperanza de ver Breivik en el ojo, otros para confirmar que está detenido bajo llave.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
However, he notes, "In my view they should be able to move forward."	Sin embargo, señala, "En mi opinión deberían ser capaces de avanzar".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It would break my heart if you left.	Esto rompa mi corazón si usted izquierda.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The police in Grand Junction, the county's largest city, are no longer citing adults for possession of small amounts.	La policía de Grand Junction, la ciudad más grande del condado, ya no están citando a los adultos por la posesión de pequeñas cantidades.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Luisa Maria Calderon alleges that drug traffickers helped opponent Fausto Vallejo of the PRI in the governor's race.	Luisa María Calderón afirma que los narcotraficantes ayudado opositor Fausto Vallejo, del PRI en la carrera del gobernador.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A first year PPE student, who, ironically, had been to Eton, said: "You're the daughter of a fascist pig."	Un estudiante de primer año del PPE, que, irónicamente, había sido Eton, dijo: "Usted es la hija de un cerdo fascista".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It is President Calderon's home state, and he chose Michoacan to launch a military-led offensive against traffickers in December 2006.	Es el estado natal del Presidente Calderón, y escogió a Michoacán para lanzar una ofensiva militar contra los traficantes en diciembre de 2006.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
At Yale Law School, the Veterans" Legal Services Clinic is preparing a case against the four major military academies for allegedly fostering a misogynistic atmosphere.	En Yale Law School, el Veterans "Legal Services Clinic está preparando un caso contra los cuatro principales academias militares por presuntamente fomentar una atmósfera misóginas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It was as big as a suitcase, had a small cathode ray tube display, and I fell in love with it.	Fue tan grande como una maleta, había un pequeño tubo de rayos catódicos exhibición, y me cayeron en el amor con ella.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The forms show no complaints of mistreatment, even though the officers asked Manning directly about his treatment, Fein contended.	Las formas no muestran las denuncias de malos tratos, aunque los agentes pidió a Manning directamente sobre su tratamiento, Fein afirmó.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
We are a - how you say - prudent people.	Somos una - como usted dice, la gente prudente.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"The few cops that I know that were called into this thing, they were not told it was for going into Zuccotti Park," said the person, who spoke on the condition of anonymity.	"Los pocos agentes que sé que fueron puestas en este aspecto, no se les dijo que se trataba de entrar en Zuccotti Park", dijo la persona, que habló bajo la condición de anonimato.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Anthony Orozco, 19, a community college student and soccer player in southeastern Colorado, is facing criminal charges for something that will soon be legal across this state: the possession of a few nuggets of marijuana and a pipe he used to smoke it.	Anthony Orozco, de 19 años, un estudiante universitario de la comunidad y jugador de fútbol en el sureste de Colorado, enfrenta cargos penales por algo que pronto será legal a través de este estado: La posesión de algunas perlas de marihuana y una pipa utilizó a fumar.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I can't remember a time when I didn't dream of winning a place at Oxford University.	No recuerdo un momento en que yo no sueño de ganar un lugar en la Universidad de Oxford.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Here is advice for proceeding: Gently excise this page and make it your bookmark.	Aquí es el asesoramiento para proceder: Suavidad impuestos esta página y dejar su marcador.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Then in the depths of winter, well and truly fermented, it is taken out and - no doubt with the senses knocked out by alcohol - eaten.	Luego, en las profundidades del invierno, bien y verdaderamente fermentado, está retirado y, seguramente con los sentidos anulados por el alcohol - comido.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Lugar's spokesman said Monday that he had not seen the final version of the new bill yet.	El portavoz del lunes Lugar, dijo que no había visto la versión final de la nueva ley todavía.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
My first one involved translating 18th-century French texts into English, and I was unprepared for what followed.	Mi primera implicaba traducir textos francés del siglo XVIII en inglés, y yo no estaba preparado para lo que vino después.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In the uncertain weeks after Colorado's vote to legalize small amounts of marijuana for recreational use, the answer in hundreds of minor drug cases depends less on the law than on location.	En las semanas de incertidumbre después de la votación de Colorado para legalizar pequeñas cantidades de marihuana para uso recreativo, la respuesta en cientos de casos menores de drogas depende menos de la ley que en el lugar.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
While Kevin Monk got the car, Roseanna Monk came down to the lobby of their Riverside Boulevard building with their luggage, carrying Genevieve.	Mientras que Kevin Monk obtuvo el coche, Roseanna Monk cayó al vestíbulo de sus Riverside Boulevard edificio con su equipaje, llevando Genevieve.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
What stands between them and a verdict is this doctrine that has been criticized since it was first issued.	Lo que se sitúa entre ellos y un veredicto es esta doctrina que ha sido criticada desde que se publicó primero.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Our office has an obligation to prosecute offenses that were crimes at the time they occurred," Mr. Buck said in a statement.	"Nuestra oficina tiene la obligación de perseguir delitos que fueron crímenes en el momento en que ocurrieron", el Sr. Buck dijo en una declaración.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The answer remains the one trumpeted by sensible people on both sides, most of the outside world and this newspaper: two states, with Israel ceding territory for security.	La respuesta sigue siendo la anunciada por la gente sensata en ambos bandos, la mayoría del mundo exterior y este periódico: Dos Estados, con Israel ceder territorio para la seguridad.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Old battles, new Middle East	Las viejas batallas, nuevo Oriente Medio	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
While cross-examining Manning at a pre-trial hearing at Ft. Meade, Maryland, prosecutor Maj. Ashden Fein asserted that records of weekly visits Manning had with unit officers during nine months of detention at Quantico, Virginia, show no complaints about his treatment.	Mientras que interrogar a Manning en una audiencia previa al juicio en Fort Meade, Maryland, fiscal del comandante Ashden Fein afirmó que los registros de visitas semanales Manning tuvo con los oficiales de la unidad durante nueve meses de detención en Quantico, Virginia, muestran ninguna queja sobre su tratamiento.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
And it's nothing that runs afoul of ethics rules.	Y no es nada que vulnera las normas éticas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In Colorado, No Playbook for New Marijuana Law	En Colorado, No manual para Nueva Ley de marihuana	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
What people are really searching for, he said, is a way to unplug and enjoy down time.	Lo que la gente está realmente busca, dijo, es una manera para desconectar y disfrutar del tiempo inicial.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"You just grab a smoke and put it away," said Victor El Hage as he purchased a pack with a photograph of a mouth tumour.	"Usted acaba de tomar un humo y ponerlo fuera", dijo Víctor El Hage como ha adquirido un paquete con una fotografía de un tumor en la boca.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Boeing also sells six Boeing Dreamliners to Oman Air, a deal worth more than $1 billion.	Boeing también vende seis Boeing Dreamliners a Omán Air, un acuerdo por valor de más de 1.000 millones de dólares.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A second group of officers waited along the eastern side of Broadway, between Liberty and Cedar Streets, in case they had to move in.	Un segundo grupo de agentes esperaron en el lado oriental de Broadway, entre Liberty y calles Cedros, en caso de que tuvieran que pasar en.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The result: between those two wars, 150 female soldiers have died - two thirds of them during combat situations.	El resultado: Entre las dos guerras, 150 mujeres soldados han muerto, dos tercios de ellas en situaciones de combate.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Some people like the aquavit more than the rakfisk," says Havard.	"Algunas personas como el el aquavit más que el rakfisk", dice Havard.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Here are our points, Havard.	"Aquí son nuestros puntos, Havard".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Defense Secretary Leon Panetta turned up the heat on Congress Monday, warning that looming automatic budget cuts would undermine national security and set off a financial chain reaction from the hallways of the Pentagon, to the battlefields of Afghanistan, to civilian assembly lines.	El secretario de Defensa, Leon Panetta, apareció el calor en el Congreso el lunes, advirtiendo que se anuncian recortes presupuestarios automática socavaría la seguridad nacional y desencadenaría una reacción en cadena de los pasillos del Pentágono, a los campos de batalla de Afganistán, a las cadenas de montaje de civiles.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But that doesn't automatically ease the grief and confusion that an entire nation still feels.	Pero eso no alivia automáticamente el dolor y la confusión que toda la nación siente aún.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Emirates airline orders 50 twin-aisle Boeing 777 jetliners with an option for 20 more.	Órdenes de la aerolínea Emirates 50 twin-aisle jetliners Boeing 777 con opción a 20 más.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The Arab spring has thrown the pieces up in the air, and, like it or not, the Palestinians and Israelis are caught up in the regional turmoil.	La primavera árabe ha arrojado las piezas en el aire, y, nos guste o no, los palestinos y los israelíes están atrapados en la agitación regional.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Last week, the western city of Montrose took up a six-month ban, and is likely to pass it next week.	La semana pasada, la ciudad occidental de Montrose adoptó una prohibición de seis meses, y es probable que pase la próxima semana.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Some of those bills are identical too, but they give their sponsors - particularly freshmen Republicans looking to burnish their resumes - the chance to brag that they "authored" such a measure.	Algunas de esas facturas son idénticas demasiado, pero sus patrocinadores, especialmente los novatos republicanos mirando bruñir sus currículos - la posibilidad de que se enorgullezcan "escribió" una medida de este tipo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
On a recent trip to Mexico City, I had barely made my way down the concourse and arrived at the immigration processing area when I got stumped.	En un reciente viaje a la Ciudad de México, apenas había hecho mi camino hacia el edificio y llegó a la zona de procesamiento de inmigración cuando llegué difuminado.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
There are, he notes, "837 registered meat substitutes permissible in the production of sausages, 511 registered coffee substitutes."	Hay, señala, "837 registrado carne sustitutos permisible en la producción de embutidos, 511 registrados el café sustitutos".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
But Professor Eastwood said that while they can be related, people who are bored tend to see the problem as the environment or the world, while people who are depressed see the problem as themselves.	Pero el profesor Eastwood dijo que si bien pueden estar relacionados, las personas que están aburridos tienden a ver el problema como el medio ambiente o el mundo, mientras que las personas que están deprimidos ver el problema como ellos mismos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A quick rundown of seven notable Lost Interview sequences:	Un rápido deterioro de siete notable Lost Interview secuencias:	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
People assume we are like the Bullingdon Club without meeting us."	La gente asuma somos como el Club Bullingdon sin cumplir con nosotros ".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Ninety days later, we had a mouse we could build for $15 that was incredibly reliable.	El noventa días después, tuvimos un ratón podríamos construir por 15 dólares que fue increíblemente fiables.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Vallejo appears to have only narrowly edged out Calderon, who had led polls before election day.	Vallejo parece haber sólo un balón marginación Calderón, quien había encabezado las encuestas antes del día de las elecciones.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A pucker of the lips.	Fruncir los labios.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In Friday's hearing, Fein reviewed with Manning the forms that officers filled out after meeting with Manning during his detention at Quantico's brig, where he was held under a heightened confinement status from July 2010 to April 2011.	En la audiencia del viernes, Fein revisado con Manning rellenar los formularios oficiales que después de reunirse con Manning durante su detención en la prisión de Quantico, donde estuvo bajo la condición de un mayor aislamiento desde julio de 2010 y abril de 2011.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Not long after their 20-minute phone conversation, Jobs landed a part-time summer job at Hewlett-Packard.	No mucho después de su conversación telefónica de 20 minutos, Jobs cayó un empleo a tiempo parcial de verano en Hewlett-Packard.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Others would wonder whether there was an "angry, violent veteran beneath the surface," said Cancian, who fought in Iraq and returned to a senior government job in Washington.	Otros se preguntan si hubo un "enojado, veterano violentos por debajo de la superficie", dijo Cancian, que combatieron en Irak y regresó a un alto empleo público en Washington.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Anders Behring Breivik, the man who confessed to masterminding twin attacks that killed 77 people in Norway this summer, has described himself as a "resistance" fighter during his first public court appearance in Oslo.	Anders Behring Breivik, el hombre que confesó haber planificado doble atentado que causó la muerte de 77 personas en Noruega este verano, se ha descrito a sí mismo como un "resistencia" combatiente durante su primera comparecencia pública en Oslo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
We have monumental challenges and we have to sustain a high level of growth.	"Tenemos retos monumentales y tenemos que mantener un alto nivel de crecimiento".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A small man with a face like cake batter, Pitt was big on bile.	Un hombre pequeño con un rostro como el pastel de masa, Pitt fue grande en la bilis.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The conflict has increasingly become an economic competition," Mr. Englund writes, "a war between factories.	"El conflicto se ha convertido cada vez más en una competencia económica", escribe el Sr. Englund, "una guerra entre las fábricas".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Not long after spelling it all out here he went and did it.	No mucho después de la ortografía todo aquí fue, y lo hicieron.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Facebook cuts all that out - you go to them directly.	"Facebook recortes todos que -como usted ir a ellos directamente".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The core experience of boredom, he said, is "disruption of the attention process, associated with a low mood and a sense that time is passing slowly."	El núcleo de la experiencia de aburrimiento, dijo, es "la interrupción del proceso de atención, asociado con un bajo estado de ánimo y una sensación de que el tiempo pasa lentamente".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In dozens of small scenes he catches the way the war has "unleashed uniquely uncontrollable forces: extreme nationalism, social revolution, religious hatred."	En docenas de pequeñas escenas cace el camino de la guerra "ha desatado singularmente fuerzas incontrolables: El nacionalismo extremo, la revolución social, el odio religioso".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
DEMOS's work is just one example of how Facebook is becoming a hot new tool in the hands of scientists.	Demos de trabajo es sólo un ejemplo de cómo Facebook se está convirtiendo en una nueva herramienta caliente en las manos de los científicos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
During his time there in the Forties, all political views had been accepted.	Durante su estancia allí en los años cuarenta, todas las opiniones políticas habían sido aceptadas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
You may call me a snivelling wimp.	Puede llamarme llorica y cobarde.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Easy - just log on to Facebook.	Fácil - sólo conectarse a Facebook.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Our existence is, as they see it, all about failure.	Nuestra existencia es, a su juicio, todo sobre el fracaso.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It would carry 700,000 barrels per day from the province of Alberta to refineries in Texas.	Se llevará 700.000 barriles por día desde la provincia de Alberta refinerías en Texas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
This ploy proved unsuccessful.	Esta estratagema resultaron infructuosos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I never went back.	Nunca volví.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The black-tie crowd rose to its feet and cheered.	La multitud black-tie aumentó a sus pies y ovacionado.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In Lyman's case, she reported the alleged rape to military police less than an hour after it occurred.	En el caso de Lyman, informó de la presunta violación a la policía militar a menos de una hora después de lo ocurrido.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The cross-examination -- during a hearing on a defense motion to have Manning's case dismissed on grounds that his confinement has been harsh and has amounted to enough punishment -- came a day after Manning testified that he had considered suicide while in custody.	El contrainterrogatorio -- durante una audiencia sobre una moción de la defensa para que el caso de Manning rechazó alegando que su confinamiento ha sido dura y ha sido suficiente castigo -- se produjo un día después de que Manning testificó que había considerado suicidarse durante su detención.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"But oil is not the only reason we are doing so well," says Anna our waitress, handing round trays of maturing rakfisk and, with her long blond hair and startlingly blue eyes, the image of Nordic well-being.	"Pero el petróleo no es la única razón por la que estamos haciendo tan bien", dice Anna nuestra camarera, entregar ronda bandejas de maduración rakfisk y, con su largo pelo rubio y ojos azules sorprendentemente, la imagen de bienestar nórdico.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
We have to ask, is that just a private citizen who really loves Marlboro cigarettes and they've gone to the trouble of making a video, or is there a marketing company involved?	Tenemos que preguntarnos, es que sólo un ciudadano privado que realmente ama a los cigarrillos Marlboro y han ido a la molestia de hacer un video, o hay una empresa de marketing?	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
And then, her first word: "What."	Y entonces, su primera palabra: "¿Qué."	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Bradley Manning didn't complain about mistreatment, prosecutors contend	Bradley Manning no se quejan de malos tratos, los fiscales sostienen	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Obama, in a written statement last week, described the decision as the State Department's call, and expressed support for it.	Obama, en una declaración escrita en la última semana, describió la decisión como el llamamiento del Departamento de Estado, y expresó su apoyo a ella.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Too many hard feelings.	Demasiados rencores.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Paul J. Browne, the Police Department's chief spokesman, said it was for their safety.	Paul J. Browne, el portavoz jefe del Departamento de Policía, dijo que era para su seguridad.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I began commuting from Oxford to my parents" house in London, finding refuge with my more open-minded metropolitan friends and family.	Empecé la conmutación de Oxford a mis padres "casa en Londres, encontrar refugio con mis amigos metropolitanas más abierto y la familia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
At one point, several officers, many with shields, were seen pushing people farther out.	En un momento, varios agentes, muchos con escudos, fueron vistos empujando a las personas más.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Other students took up the refrain.	Otros estudiantes asumió el estribillo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Who are the individuals who are in the position to eradicate the culture of retaliation? The top leadership.	"Que son las personas que están en la posición de erradicar la cultura de represalia? La cúpula".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Would I be forced to meet like-minded people only after dark?	¿Estaría obligada a quedar con personas afines sólo a escondidas?	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"The intervention by organized crime during the entire election process and especially yesterday is alarming, not just for Michoacan but for the entire country," Luisa Maria Calderon said in a radio interview a day after Sunday's vote.	"La intervención de la delincuencia organizada durante todo el proceso electoral y especialmente ayer es alarmante, no sólo para Michoacán, sino para todo el país", Luisa María Calderón dijo en una entrevista de radio un día después de la votación del domingo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The Pentagon already is digesting $450 billion of reductions over the next decade but now fears an additional $600 billion or more in cuts may be imminent if Congress cannot reach a deal on spending.	El Pentágono ya está asimilando las reducciones de 450 mil millones de dólares en la próxima década, pero ahora los temores de una o más de 600 millones de dólares adicionales en recortes puede ser inminente si el Congreso no puede llegar a un acuerdo sobre el gasto.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Emergency service officers were called in to cut the locks.	Agentes de los servicios de emergencia fueron convocados para cortar el pelo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The court papers, obtained by Newsweek, detail the defense strategy - essentially, that the military cannot be sued by current or former soldiers for injuries incurred in the armed forces.	Los documentos judiciales obtenidos por Newsweek, detalle la estrategia de defensa, básicamente, que los militares no puede ser demandado por los actuales o ex soldados por las lesiones sufridas en las fuerzas armadas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Only a generation ago, thousands of Norwegians were forced to leave their country in search of work, emigrating mainly to the US.	Sólo hace una generación, miles de noruegos se vieron obligados a abandonar su país en busca de trabajo, emigrando principalmente a los Estados Unidos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I speak Spanish, good enough to handle either end of an interview in that language.	Hablo español, lo suficientemente bueno para manejar bien final de una entrevista en ese idioma.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The answer remains the one trumpeted by sensible people on both sides, most of the outside world and this newspaper: two states, with Israel ceding territory for security.	La respuesta sigue siendo la anunciada por la gente sensata en ambos bandos, la mayoría del mundo exterior y este periódico: Dos Estados, cediendo Israel territorio para la seguridad.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The new environmental review ordered by the State Department likely would push off any decision until 2013, after next year's elections, though officials denied that politics was involved in the decision.	La nueva revisión medioambiental ordenado por el Departamento de Estado probable orientaría frente a cualquier decisión hasta 2013, después de las elecciones del próximo año, aunque funcionarios negaron que la política estuvo involucrado en la decisión.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
